"","target_id","ext_gene","2dpi-0dpi","4dpi-0dpi","7dpi-0dpi","12dpi-0dpi"
"1","TRANSGENE",NA,1,1,1,1
"2","ENSDART00000158016","flnca",1,1,1,1
"3","ENSDART00000136782","si:dkey-24c2.7",1,1,1,1
"4","ENSDART00000162668","cremb",1,1,1,1
"5","ENSDART00000156012","si:dkey-35i13.1",-1,-1,-1,0
"6","ENSDART00000133512","fosl1b",1,1,1,0
"7","ENSDART00000115049","mych",1,1,1,1
"8","ENSDART00000006619","rbpms2b",-1,-1,0,0
"9","ENSDART00000112028","si:ch211-180f4.1",1,1,1,1
"10","ENSDART00000129155","vmp1",1,1,1,1
"11","ENSDART00000063251","ctsz",1,1,1,0
"12","ENSDART00000160582","creb5a",1,1,1,1
"13","ENSDART00000111636","DTX4 (1 of many)",-1,-1,-1,-1
"14","ENSDART00000127420","MDP1",1,1,1,1
"15","ENSDART00000067542","kcnk10b",1,1,1,1
"16","ENSDART00000036939","gadd45ba",1,1,1,1
"17","ENSDART00000136708","rbpms2b",-1,-1,0,0
"18","ENSDART00000022060","atf3",1,1,1,1
"19","ENSDART00000139569","zgc:92658",-1,-1,-1,-1
"20","ENSDART00000064509","stmn4l",1,1,1,1
"21","ENSDART00000150013","cd276",1,1,1,1
"22","ENSDART00000077545","slc7a7",1,1,0,0
"23","ENSDART00000160201","tnfrsf11b",1,1,1,0
"24","ENSDART00000157636","Metazoa_SRP",1,1,1,0
"25","ENSDART00000098424","trib2",-1,-1,-1,-1
"26","ENSDART00000143741","fkbp5",1,1,1,1
"27","ENSDART00000109464","g0s2",1,1,0,0
"28","ENSDART00000053750","acsl2",-1,-1,-1,-1
"29","ENSDART00000149115","zgc:158659",1,1,1,1
"30","ENSDART00000007642","zgc:110239",1,1,0,0
"31","ENSDART00000067599","angptl2a",1,1,1,0
"32","ENSDART00000113796","cacnb3b",-1,-1,0,0
"33","ENSDART00000081129","cdk15",-1,-1,-1,0
"34","ENSDART00000139087","lgmn",1,1,0,0
"35","ENSDART00000031091","vsnl1a",-1,-1,-1,0
"36","ENSDART00000080486","ywhag1",-1,-1,0,0
"37","ENSDART00000163441","limk1a",1,1,1,1
"38","ENSDART00000143410","EMB",-1,-1,0,0
"39","ENSDART00000125430","pprc1",1,1,1,0
"40","ENSDART00000022307","atic",1,1,0,0
"41","ENSDART00000160536","gnsb",1,1,1,0
"42","ENSDART00000003825","cplx2l",-1,-1,1,1
"43","ENSDART00000046218","flnca",1,1,1,1
"44","ENSDART00000122102","wee1",1,1,1,0
"45","ENSDART00000137373","si:ch211-266i6.3",1,1,1,0
"46","ENSDART00000153731","si:dkey-79d12.5",1,1,1,0
"47","ENSDART00000164129","asic4b",-1,-1,-1,0
"48","ENSDART00000168518","asic4b",-1,-1,-1,0
"49","ENSDART00000157125","vsnl1b",-1,-1,-1,0
